indice_tiempo,base_monetaria_total,base_monetaria_circulacion_monetaria_total,base_monetaria_circulacion_monetaria_publico,base_monetaria_circulacion_monetaria_ent_financieras,base_monetaria_cuenta_corriente_bcra,depositos_cuenta_corriente_total,depositos_cuenta_corriente_privado,depositos_cuenta_corriente_publico,depositos_caja_ahorro_total,depositos_caja_ahorro_privado,depositos_caja_ahorro_publico,depositos_pf_no_ajustable_cer_uva_total,depositos_pf_no_ajustable_cer_uva_privado,depositos_pf_no_ajustable_cer_uva_publico,depositos_pf_ajustable_cer_uva_total,depositos_pf_ajustable_cer_uva_privado,depositos_pf_ajustable_cer_uva_publico,depositos_otros_depositos_total,depositos_otros_depositos_privado,depositos_otros_depositos_publico,depositos_cedros_cer_total,depositos_cedros_cer_privado,depositos_cedros_cer_publico,depositos_totales_pesos_total,depositos_totales_pesos_privado,depositos_totales_pesos_publico,depositos_totales_dolares_total,depositos_totales_dolares_privado,depositos_totales_dolares_publico,agregados_monetarios_totales_m2,agregados_monetarios_totales_m3,agregados_monetarios_totales_m3_alternativa,agregados_monetarios_totales_m2_privado,det_desagreg_cta_corr_usd_sec_publico,det_desagreg_cta_corr_usd_sec_priv_,det_desagreg_cta_corr_usd_total,det_desagreg_caja_ahorro_usd_sec_publico,det_desagreg_caja_ahorro_usd_sec_priv_,det_desagreg_caja_ahorro_usd_total,det_desagreg_plazo_fijo_usd_sec_publico,det_desagreg_plazo_fijo_usd_sec_priv_,det_desagreg_plazo_fijo_usd_total,det_desagreg_otros_depo_usd_sec_publico,det_desagreg_otros_depo_usd_sec_priv_,det_desagreg_otros_depo_usd_total,det_desagreg_plazo_fijo_sec_priv_pesos_total,det_desagreg_plazo_fijo_sec_priv_pesos_mayoristas,det_desagreg_plazo_fijo_sec_priv_pesos_minoristas,det_desagreg_plazo_fijo_sec_priv_pesos_hasta_59_dias,det_desagreg_plazo_fijo_sec_priv_pesos_60_89_dias,det_desagreg_plazo_fijo_sec_priv_pesos_90_179_dias,det_desagreg_plazo_fijo_sec_priv_pesos_180_365_dias,det_desagreg_plazo_fijo_sec_priv_pesos_366_mas,det_desagreg_plazo_fijo_sec_priv_usd_total,det_desagreg_plazo_fijo_sec_priv_usd_mayoristas,det_desagreg_plazo_fijo_sec_priv_usd_minoristas,det_desagreg_plazo_fijo_sec_priv_usd_hasta_59_dias,det_desagreg_plazo_fijo_sec_priv_usd_60_89_dias,det_desagreg_plazo_fijo_sec_priv_usd_90_179_dias,det_desagreg_plazo_fijo_sec_priv_usd_180_365_dias,det_desagreg_plazo_fijo_sec_priv_usd_366_mas,det_desagreg_plazo_fijo_sec_priv_total,det_desagreg_plazo_fijo_sec_priv_pesos_usd_mayoristas,det_desagreg_plazo_fijo_sec_priv_pesos_usd_minoristas,det_desagreg_plazo_fijo_sec_priv_pesos_usd_hasta_59_dias,det_desagreg_plazo_fijo_sec_priv_pesos_usd_60_89_dias,det_desagreg_plazo_fijo_sec_priv_pesos_usd_90_179_dias,det_desagreg_plazo_fijo_sec_priv_pesos_usd_180_365_dias,det_desagreg_plazo_fijo_sec_priv_pesos_usd_366_mas
2013-08-01,326428.7755174912,252802.27418407195,229481.40321633,23320.87096774194,73624.93582383348,59990.096774193546,107847.87096774194,167837.96774193548,11340.838709677424,111239.54838709677,122580.3870967742,94604.54838709679,205080.0,299684.5483870968,0.0,6.709677419354839,6.709677419354839,8079.709677419356,15006.354838709678,23086.064516129034,0.0,0.0,0.0,174015.19354838727,439180.48387096776,613195.677419355,6971.32107419354,37860.40838709677,44831.72946129031,519901.3235646255,842677.080635685,887508.8100969752,448568.82257116865,0.0,0.0,0.0,535.5483870967741,2410.6451612903224,2946.1935483870966,289.06451612903226,3969.1290322580644,4258.193548387097,480.64516129032256,541.483870967742,1022.1290322580645,200834.25806451612,109318.12903225806,91516.12903225806,125034.41935483871,31063.677419354837,32739.58064516129,10654.483870967742,1342.032258064516,3982.3548387096776,1059.7096774193549,2922.6451612903224,1711.1290322580646,613.6451612903226,809.483870967742,787.516129032258,60.54838709677419,223059.39249032259,115232.578283871,107826.81420645163,134583.77363548384,34488.26041612904,37257.631806451616,15049.525380645167,1679.9673548387095
2013-09-01,329768.5464610796,254324.23413799968,231388.9341379997,22935.3,75442.66734177926,60462.76666666666,111380.86666666667,171843.63333333333,12605.0,112185.86666666667,124790.86666666667,95823.19999999998,211015.36666666667,306838.56666666665,0.0,6.0,6.0,8143.799999999999,15259.8,23403.6,0.0,0.0,0.0,177034.76666666666,449847.89999999997,626882.6666666666,7786.566030000002,38966.15567,46752.7217,528025.0791193002,858271.6008046663,905024.3225046664,454955.6674713331,0.0,0.0,0.0,576.9333333333333,2462.5,3039.4333333333334,289.1,3950.2,4239.3,559.7666666666667,519.8333333333334,1079.6,206724.9,112534.13333333333,94190.76666666666,130433.4,30927.566666666666,33736.0,10329.3,1298.3333333333333,3955.2,1060.4333333333334,2894.766666666667,1698.8666666666666,594.9666666666667,821.6666666666666,779.2333333333333,60.333333333333336,229415.2644433332,118617.93238333338,110797.33205999999,140179.69052666667,34340.64538666667,38449.95916666665,14799.446283333331,1644.45393
2013-10-01,335078.0465041229,258272.33538656204,234464.0128059169,23808.32258064516,76802.53744839541,58329.45161290324,113458.16129032258,171787.61290322582,13025.516129032258,114296.2258064516,127321.74193548386,100852.06451612903,215836.25806451612,316688.32258064515,0.0,6.0,6.0,8789.41935483871,15873.41935483871,24662.83870967742,0.0,0.0,0.0,180996.45161290333,459470.06451612903,640466.5161290324,8001.535638709676,39756.70682903224,47758.24246774192,533576.5413137919,874601.3490478396,922875.740864262,461889.22001558146,0.0,0.0,0.0,519.0,2509.5806451612902,3028.5806451612902,290.0967741935484,3900.967741935484,4191.064516129032,617.741935483871,532.7741935483871,1150.516129032258,211147.35483870967,114604.6129032258,96542.74193548386,134490.32258064515,31578.74193548387,33383.354838709674,10405.290322580646,1289.9032258064517,3912.8064516129034,1060.3870967741937,2852.4193548387098,1683.1290322580646,597.5806451612904,791.1612903225806,782.0967741935484,59.03225806451613,234023.28381290322,120804.05503225807,113219.22878064516,144330.66821935485,35072.45775483871,38008.409948387096,14978.132548387097,1635.008864516129
2013-11-01,338343.2818979388,260349.9635013866,234788.0301680533,25561.93333333333,77990.8722903472,57432.30000000002,115383.86666666667,172816.1666666667,10391.066666666666,114682.66666666667,125073.73333333334,109722.33333333337,221587.8,331310.13333333336,0.0,6.033333333333333,6.033333333333333,8656.699999999999,16285.866666666667,24942.566666666666,0.0,0.0,0.0,186202.40000000014,467946.2333333333,654148.6333333334,8410.029143333333,40246.58806666665,48656.61720999998,532680.3762742584,888936.6635013868,937593.2807113865,464854.5635013867,0.0,0.0,0.0,526.4666666666667,2437.733333333333,2964.2,292.8333333333333,3870.0333333333333,4162.866666666667,641.5,513.8,1155.3,216532.43333333332,118180.9,98351.53333333334,141024.2,31277.233333333334,32647.833333333332,10321.5,1261.9,3879.3333333333335,1056.9,2822.4333333333334,1652.2666666666667,600.3,788.2,781.3,57.46666666666667,239853.50320333336,124534.53983666668,115318.9633666667,150955.97048666663,34886.77675,37386.27053666667,15018.625033333334,1607.2833300000004
2013-12-01,361579.7576803596,277093.2260270765,247158.3550593345,29934.87096774194,84484.4561926006,70707.2258064516,120246.96774193548,190954.1935483871,13837.419354838712,126469.54838709677,140306.96774193548,89382.16129032255,220272.74193548388,309654.9032258064,0.0,6.032258064516129,6.032258064516129,9266.548387096773,17443.451612903227,26710.0,0.0,0.0,0.0,183193.35483870958,484438.7419354839,667632.0967741935,9807.178516129046,42584.33896129033,52391.51747741937,578421.5272942105,914790.451833528,967181.9693109475,493874.8066722377,0.0,0.0,0.0,538.0967741935484,2470.5806451612902,3008.6774193548385,291.7096774193548,3881.7419354838707,4173.451612903225,785.258064516129,488.93548387096774,1274.1935483870966,214994.70967741936,116680.2258064516,98314.48387096774,137579.12903225806,31768.032258064515,33580.967741935485,10667.258064516129,1399.225806451613,3887.5806451612902,1054.8709677419354,2832.7096774193546,1635.8064516129032,617.1935483870968,799.4193548387096,781.4516129032259,54.0,239636.79926774194,123366.20277419357,116270.59649354836,147948.43862258067,35680.66877419355,38647.38812580646,15620.459045161291,1741.6177258064515
2014-01-01,368235.5913640581,280738.6170738501,252127.6170738501,28611.0,87495.99356710607,103307.87096774195,121029.48387096774,224337.3548387097,13395.709677419363,124541.80645161291,137937.51612903227,71219.48387096776,225442.06451612903,296661.5483870968,0.0,5.612903225806452,5.612903225806452,9056.09677419355,16667.870967741936,25723.967741935485,0.0,0.0,0.0,196979.16129032266,487686.83870967745,684666.0000000001,12385.058480645173,49497.39591935483,61882.4544,614403.4042485649,936793.6170738502,998679.3632480436,497698.84288030164,0.0,0.0,0.0,664.3225806451613,2739.6774193548385,3404.0,287.9032258064516,3891.451612903226,4179.354838709677,836.9032258064516,532.3548387096774,1369.258064516129,220129.16129032258,119723.58064516129,100405.58064516129,137823.1935483871,33363.45161290323,36057.54838709677,11362.193548387097,1523.0645161290322,3905.1612903225805,1056.8064516129032,2848.3548387096776,1624.4516129032259,637.483870967742,787.4516129032259,794.8064516129032,61.12903225806452,247669.8373451613,127178.35730322586,120491.48004193544,149271.14156774193,37865.86714193549,41606.8278516129,16971.926748387094,1955.4811419354837
2014-02-01,347706.8007966656,272778.8158851503,244987.1373137217,27791.67857142857,74927.03003228748,81203.7142857143,119244.32142857143,200448.03571428574,9340.964285714275,121998.39285714286,131339.35714285713,93975.96428571429,234242.9642857143,328218.9285714286,0.0,5.035714285714286,5.035714285714286,8850.285714285714,17106.64285714286,25956.928571428572,0.0,0.0,0.0,193370.9285714284,492597.35714285716,685968.2857142856,13443.661717857154,56097.915525,69541.57724285715,576780.0564786639,930955.4230280073,1000493.8574137219,486230.9944565788,0.0,0.0,0.0,626.9285714285714,2917.714285714286,3544.6428571428573,294.57142857142856,3827.464285714286,4122.035714285715,803.75,521.5357142857143,1325.2857142857142,228676.85714285713,126103.96428571429,102572.89285714286,147721.5,31512.928571428572,36080.67857142857,11764.57142857143,1597.2142857142858,3834.3928571428573,1045.7857142857142,2788.6071428571427,1600.892857142857,612.7857142857143,741.4285714285714,818.1071428571429,61.07142857142857,258823.93502142862,134325.87415,124498.06087142856,160307.55099999998,36331.47545357144,41910.117014285715,18196.503625,2077.481203571429
2014-03-01,351349.3903227712,268828.67451151833,240596.4487050667,28232.22580645161,82519.76091574773,65734.51612903226,120179.45161290323,185913.96774193548,11664.483870967757,120981.87096774194,132646.3548387097,96821.67741935485,244427.1935483871,341248.87096774194,0.0,5.709677419354839,5.709677419354839,9042.129032258064,17565.064516129034,26607.1935483871,0.0,0.0,0.0,183262.80645161308,503159.2903225806,686422.0967741937,13030.166006451604,53595.6345903226,66625.8005967742,559157.8229554107,927018.5454792604,993644.5073663569,481757.6099953893,0.0,0.0,0.0,598.8709677419355,2548.6129032258063,3147.483870967742,295.3225806451613,3821.6451612903224,4116.967741935484,764.6774193548387,509.7741935483871,1274.4516129032259,239023.5806451613,131793.03225806452,107230.54838709677,156184.25806451612,31912.709677419356,37095.06451612903,12243.354838709678,1588.3548387096773,3834.2258064516127,1057.3870967741937,2776.8387096774195,1657.8064516129032,546.3870967741935,749.258064516129,813.9354838709677,66.6774193548387,269415.80263548385,140174.65270000006,129241.14993548386,169325.88399999996,36242.51192258064,43034.338674193554,18694.858267741936,2117.097664516129
2014-04-01,354169.9672087581,269311.163848453,239784.3305151197,29526.83333333333,84857.13426549984,67166.90000000001,123950.7,191117.6,11679.533333333326,120121.1,131800.63333333333,94444.53333333333,256911.26666666666,351355.8,0.0,6.566666666666666,6.566666666666666,9737.266666666666,18203.1,27940.366666666665,0.0,0.0,0.0,183028.2333333334,519192.7333333333,702220.9666666667,13301.023720000012,52975.28633333334,66276.31005333335,562708.699609925,942005.2971817863,1008278.2071851199,483860.69718178635,0.0,0.0,0.0,658.7666666666667,2391.6666666666665,3050.4333333333334,301.8666666666667,3877.9666666666667,4179.833333333333,717.2666666666667,472.2,1189.4666666666667,251543.83333333334,139079.76666666666,112464.06666666667,163004.43333333332,35016.4,38394.36666666667,13423.266666666666,1705.4,3887.5333333333333,1111.2333333333333,2776.3,1695.9333333333334,522.7666666666667,761.2666666666667,792.9666666666667,114.66666666666667,282648.36927333346,147970.85162000003,134677.5176533333,176573.76401333333,39199.107583333345,44485.33593333334,19767.872720000003,2622.8558566666675
2014-05-01,353310.6507752103,267032.9427506203,239957.4911377171,27075.45161290323,86275.99869132513,72174.5806451613,128915.16129032258,201089.74193548388,10983.22580645162,122590.51612903226,133573.74193548388,88889.64516129033,262005.70967741936,350895.3548387097,0.0,7.0,7.0,9819.129032258064,18556.354838709678,28375.483870967742,0.0,0.0,0.0,181866.58064516133,532074.7419354839,713941.3225806452,10316.917119354846,56702.39715161289,67019.31427096773,574612.1682129174,953898.8137183622,1020847.323524814,491456.8459764268,0.0,0.0,0.0,308.93548387096774,2806.3548387096776,3115.2903225806454,302.80645161290323,3953.7096774193546,4256.5161290322585,720.1612903225806,442.03225806451616,1162.1935483870966,256440.12903225806,139231.16129032258,117208.96774193548,160863.51612903227,37903.3870967742,40822.3870967742,15143.41935483871,1707.225806451613,3961.9032258064517,1180.8387096774193,2781.064516129032,1682.3870967741937,544.0967741935484,785.3548387096774,796.3548387096774,153.80645161290323,288288.39437419357,148723.56113870963,139564.83323548388,174387.23266774192,42277.07348709677,47135.68592258063,21544.934183870973,2944.0662774193547
