id_provincia_indec,fecha,puestos,masa
6.0,2014-09-01,3711932.0,44798156163.0
6.0,2014-10-01,3730118.0,45399089787.0
6.0,2014-11-01,3748702.0,45721468625.0
6.0,2014-12-01,3766601.0,67534628616.0
6.0,2015-01-01,3783357.0,50297502121.0
6.0,2015-02-01,3769978.0,49024370314.0
6.0,2015-03-01,3769455.0,51781794399.0
6.0,2015-04-01,3771050.0,51961632409.0
6.0,2015-05-01,3776273.0,52745924265.0
6.0,2015-06-01,3795842.0,79429928729.0
6.0,2015-07-01,3807461.0,58063726679.0
6.0,2015-08-01,3824225.0,58823148106.0
6.0,2015-09-01,3833520.0,60582558258.0
6.0,2015-10-01,3864476.0,61525681901.0
6.0,2015-11-01,3875025.0,62747286134.0
6.0,2015-12-01,3867030.0,91967737550.0
6.0,2016-01-01,3856316.0,67306616351.0
6.0,2016-02-01,3851025.0,66215548196.0
6.0,2016-03-01,3839241.0,69396712892.0
6.0,2016-04-01,3819914.0,70724794196.0
6.0,2016-05-01,3810140.0,72255707793.0
6.0,2016-06-01,3808434.0,104519188298.0
6.0,2016-07-01,3801486.0,76123209814.0
6.0,2016-08-01,3801287.0,78018734896.0
6.0,2016-09-01,3804389.0,78796910401.0
6.0,2016-10-01,3815523.0,81219464667.0
6.0,2016-11-01,3834023.0,84060899285.0
6.0,2016-12-01,3846005.0,124270872860.0
6.0,2017-01-01,3838322.0,92268413792.0
6.0,2017-02-01,3827239.0,88370926144.0
6.0,2017-03-01,3836759.0,92809150062.0
6.0,2017-04-01,3808192.0,91234441096.0
6.0,2017-05-01,3823700.0,93156804576.0
6.0,2017-06-01,3827375.0,134834652006.0
6.0,2017-07-01,3826331.0,99774503040.0
6.0,2017-08-01,3839929.0,100612906704.0
6.0,2017-09-01,3840138.0,102487186804.0
6.0,2017-10-01,3868569.0,104922332723.0
6.0,2017-11-01,3891312.0,107268331869.0
6.0,2017-12-01,3900985.0,155260662478.0
6.0,2018-01-01,3907943.0,116729817655.0
6.0,2018-02-01,3878601.0,111401398551.0
6.0,2018-03-01,3872060.0,115973503785.0
6.0,2018-04-01,3853000.0,118855279501.0
6.0,2018-05-01,3840411.0,118000755499.0
6.0,2018-06-01,3822121.0,168727897194.0
6.0,2018-07-01,3827036.0,123271569764.0
6.0,2018-08-01,3827918.0,126234097807.0
6.0,2018-09-01,3807397.0,127128956271.0
6.0,2018-10-01,3817933.0,135961116267.0
6.0,2018-11-01,3809466.0,140798716066.0
6.0,2018-12-01,3809184.0,207415031523.0
6.0,2019-01-01,3799083.0,153568735079.0
6.0,2019-02-01,3795113.0,151031458126.0
6.0,2019-03-01,3784082.0,161846066858.0
6.0,2019-04-01,3765797.0,161906439014.0
6.0,2019-05-01,3764908.0,166402391858.0
6.0,2019-06-01,3760986.0,236895357600.0
6.0,2019-07-01,3767488.0,178220131921.0
6.0,2019-08-01,3767036.0,182928542113.0
6.0,2019-09-01,3750599.0,187406250243.0
6.0,2019-10-01,3769392.0,200160613199.0
6.0,2019-11-01,3748135.0,200810046322.0
6.0,2019-12-01,3751006.0,291603870664.0
6.0,2020-01-01,3728972.0,224514534047.0
6.0,2020-02-01,3719754.0,226340942365.0
6.0,2020-03-01,3704182.0,233844173793.0
6.0,2020-04-01,3644349.0,216568961102.0
6.0,2020-05-01,3628864.0,216070185748.0
6.0,2020-06-01,3627929.0,318122618186.0
6.0,2020-07-01,3630309.0,229986015187.0
6.0,2020-08-01,3635927.0,234491614316.0
6.0,2020-09-01,3642331.0,242148097807.0
6.0,2020-10-01,3652148.0,258747652051.0
6.0,2020-11-01,3677203.0,265912539606.0
6.0,2020-12-01,3687412.0,394856944704.0
6.0,2021-01-01,3670990.0,295534108755.0
6.0,2021-02-01,3674482.0,297347013786.0
6.0,2021-03-01,3691020.0,321880138677.0
6.0,2021-04-01,3695507.0,328120915899.0
6.0,2021-05-01,3690001.0,327783414461.0
6.0,2021-06-01,3695729.0,483838391705.0
6.0,2021-07-01,3705670.0,362364417681.0
6.0,2021-08-01,3719288.0,371854112071.0
6.0,2021-09-01,3741475.0,388654994523.0
6.0,2021-10-01,3763699.0,408235450834.0
6.0,2021-11-01,3800664.0,428214044473.0
6.0,2021-12-01,3815874.0,645646993097.0
6.0,2022-01-01,3820502.0,481292888797.0
6.0,2022-02-01,3820528.0,477789578339.0
6.0,2022-03-01,3838709.0,538799058430.0
6.0,2022-04-01,3837050.0,546840022484.0
6.0,2022-05-01,3850189.0,576878795128.0
6.0,2022-06-01,3863268.0,843813455064.0
6.0,2022-07-01,3879767.0,634550871846.0
6.0,2022-08-01,3876573.0,666155316579.0
6.0,2022-09-01,3898793.0,728563933705.0
6.0,2022-10-01,3919890.0,772129110576.0
6.0,2022-11-01,3941981.0,833378665063.0
10.0,2014-01-01,86283.0,684489970.0
10.0,2014-02-01,86875.0,666791165.0
10.0,2014-03-01,86261.0,684444583.0
10.0,2014-04-01,87170.0,741337507.0
10.0,2014-05-01,88817.0,773003884.0
10.0,2014-06-01,88907.0,1117297212.0
10.0,2014-07-01,88889.0,816600023.0
10.0,2014-08-01,88731.0,823747071.0
10.0,2014-09-01,89016.0,824011809.0
10.0,2014-10-01,89355.0,843687116.0
10.0,2014-11-01,89875.0,875845175.0
10.0,2014-12-01,90371.0,1323020794.0
10.0,2015-01-01,89661.0,893052754.0
10.0,2015-02-01,91545.0,884846517.0
10.0,2015-03-01,91994.0,959108458.0
10.0,2015-04-01,91725.0,958453223.0
10.0,2015-05-01,91826.0,1029903694.0
10.0,2015-06-01,92096.0,1579607338.0
10.0,2015-07-01,91940.0,1111057580.0
10.0,2015-08-01,92296.0,1114637762.0
