indice_tiempo,eph_continua_tasa_desempleo_total,eph_continua_tasa_desempleo_total_gba,eph_continua_tasa_desempleo_total_cuyo,eph_continua_tasa_desempleo_total_nordeste,eph_continua_tasa_desempleo_total_noroeste,eph_continua_tasa_desempleo_total_region_pampeana,eph_continua_tasa_desempleo_total_patagonia,eph_continua_tasa_desempleo_total_caba,eph_continua_tasa_desempleo_total_partidos_gba,eph_continua_tasa_desempleo_total_gran_mendoza,eph_continua_tasa_desempleo_total_gran_san_juan,eph_continua_tasa_desempleo_total_san_luis,eph_continua_tasa_desempleo_total_corrientes,eph_continua_tasa_desempleo_total_formosa,eph_continua_tasa_desempleo_total_gran_resistencia,eph_continua_tasa_desempleo_total_posadas,eph_continua_tasa_desempleo_total_gran_tucuman,eph_continua_tasa_desempleo_total_gran_catamarca,eph_continua_tasa_desempleo_total_jujuy,eph_continua_tasa_desempleo_total_la_rioja,eph_continua_tasa_desempleo_total_salta,eph_continua_tasa_desempleo_total_santiago_del_estero,eph_continua_tasa_desempleo_total_gran_cordoba,eph_continua_tasa_desempleo_total_gran_la_plata,eph_continua_tasa_desempleo_total_gran_rosario,eph_continua_tasa_desempleo_total_mar_del_plata,eph_continua_tasa_desempleo_total_concordia,eph_continua_tasa_desempleo_total_bahia_blanca,eph_continua_tasa_desempleo_total_gran_parana,eph_continua_tasa_desempleo_total_gran_santa_fe,eph_continua_tasa_desempleo_total_rio_cuarto,eph_continua_tasa_desempleo_total_santa_rosa,eph_continua_tasa_desempleo_total_san_nicolas,eph_continua_tasa_desempleo_total_comodoro_rivadavia,eph_continua_tasa_desempleo_total_neuquen,eph_continua_tasa_desempleo_total_rio_gallegos,eph_continua_tasa_desempleo_total_ushuaia_rio_grande,eph_continua_tasa_desempleo_total_rawson_trelew,eph_continua_tasa_desempleo_total_viedma_carmen_patagones
2004-01-01,0.1352090636825826,0.14360063769836093,0.09550842791320818,0.08711933007779539,0.13858271613884668,0.13779650794524897,0.07583610768720325,0.10249732372732956,0.15790151425668958,0.101944006511653,0.11259858067419636,0.020718956033242503,0.09881711133588986,0.06581663431889911,0.07957063719094057,0.0995149458975419,0.139891022680171,0.14246800525755607,0.14718508861116297,0.09434022734896658,0.15186421222791152,0.12524391126661172,0.13174704717314503,0.139529364108142,0.1548749659756397,0.13090597392655617,0.16569019089956005,0.15665153165085843,0.10698615588414809,0.13378526976532054,0.10784773723364072,0.08570173539889445,,0.08541441416061901,0.0783589903916587,0.01981688923953676,0.09682175944706221,,
2005-01-01,0.1151005996381575,0.12723411101702317,0.07553526087921456,0.06290747529701843,0.10894005116488993,0.11132755252474763,0.07126411770784286,0.09086935603097974,0.1398524542164337,0.07575614257296227,0.10136295631751047,0.013524266751870448,0.08827453034228518,0.05104092237188299,0.0540653957297757,0.052855092588588094,0.12130898552610106,0.11351709349686272,0.08732171327958846,0.0781769757614726,0.13439902386140978,0.07207604697606516,0.1059152275633545,0.11928632482057348,0.12378310558590044,0.12485684326266878,0.11391912305067828,0.10052676150516796,0.08308483881751913,0.10340541423121566,0.08444692705998455,0.05649152461568757,,0.08204229830598897,0.07973745880154348,0.015718428409793928,0.07987537013299352,,
2006-01-01,0.10088052930061997,0.1109952827554192,0.05732236012056206,0.05989978489201738,0.101240195026373,0.09726992411885228,0.07690188532425407,0.08270885204074692,0.12059093669659814,0.05265330208143351,0.08499432147355229,0.016481453352488493,0.07119038182489147,0.04395595803592879,0.05488084388404001,0.06376944531715945,0.11201940306688835,0.10952585068074011,0.07382102986176481,0.07361178972257928,0.0975996624406443,0.07647578343747703,0.08719369046264708,0.11900226023452291,0.11494439000575776,0.10083548907864848,0.09229781409318934,0.09030614951788334,0.06719073753639074,0.0759656526381234,0.08605724103176285,0.06400504098163055,,0.06872593243672787,0.09341701741649613,0.03207864050662474,0.07697053557915869,,
2007-01-01,0.08399896524563555,0.09139455274012238,0.047530838697570486,0.04906404033914346,0.08887663619273908,0.0868140643819198,0.057936601870531484,0.06791216130326948,0.0995444613151611,0.04096748962370035,0.07558244269876604,0.016369518367661158,0.05286919974396921,0.03429775797334116,0.061858499066721175,0.040786545451237506,0.09391440914421588,0.10601217454946688,0.0768728736529196,0.08135378874065746,0.09893283294924882,0.06660489080941231,0.08463744119520683,0.07585073461174695,0.09971586741628577,0.1030558287119353,0.06638871476138232,0.08899631576617334,0.05573139951519845,0.08585110700627127,0.08807768156109469,0.05595180500039536,0.08059822737679403,0.04515961971134017,0.06357588672136075,0.02103679897929976,0.06925632612548027,0.06546624740695786,0.07619414453742757
2008-01-01,0.07829542843109608,0.08358065909260179,0.04486531517775519,0.04721550786308955,0.08038103849729752,0.08145604005404292,0.0601981530865516,0.055120925912883506,0.09339919944986701,0.04050133674312629,0.06780971247562448,0.013012706655642248,0.06725201376763863,0.027307866855273817,0.03766596423486811,0.04682591361537128,0.09091708437027057,0.0860508425520222,0.07086033354796123,0.06620557016617784,0.09091682455901856,0.051473244531282505,0.07234533983207969,0.0825449879303877,0.0851257670483008,0.09462657913612291,0.0642707144453987,0.0812864099902133,0.05670055876942632,0.10802963391097542,0.07528601090279949,0.04632194410397636,0.07987345645525427,0.046107494861169246,0.07008067099733599,0.018910281496531706,0.05526825562926091,0.06798176461329573,0.09752547408541135
2009-01-01,0.08639982833669291,0.09065248724800465,0.06423193298810762,0.039476669951203414,0.08174209571928712,0.09403859117415972,0.06975842539896533,0.06766262637635741,0.09154237546995592,0.06944185490523491,0.062190190041406634,0.032355888849442946,0.05344082289394851,0.02474028366726996,0.03049058301119336,0.05515497329515985,0.09447440615779025,0.09760740342427668,0.06267848385141518,0.06419568352040354,0.08740968094553979,0.05354231215560801,0.09697130334584686,0.06981803899716721,0.10500419861505349,0.10974984417135672,0.07001697326359851,0.0871043499145594,0.07055551615042238,0.10993240611399922,0.09249486284629185,0.035788088747762424,0.082563622855407,0.044417409467841736,0.07511753044605951,0.027768675268213305,0.09532584524364798,0.0714269757935524,0.10735627316515069
2010-01-01,0.0775,0.08175,0.05075,0.03775,0.0735,0.0835,0.057749999999999996,0.06125,0.08925,0.046250000000000006,0.076,0.01575,0.046250000000000006,0.02375,0.034,0.041,0.06225,0.09100000000000001,0.056499999999999995,0.056249999999999994,0.10600000000000001,0.0605,0.0805,0.07150000000000001,0.08900000000000001,0.08374999999999999,0.07825,0.0845,0.09775,0.09075000000000001,0.101,0.03675,0.081,0.04,0.0595,0.02275,0.08175,0.06875,0.06999999999999999
2011-01-01,0.07150000000000001,0.07825,0.044000000000000004,0.0345,0.0655,0.07575,0.05324999999999999,0.059,0.0845,0.043250000000000004,0.05575,0.019,0.051000000000000004,0.021750000000000002,0.030250000000000003,0.026750000000000003,0.03925,0.09775,0.051500000000000004,0.04825,0.102,0.06975,0.07175000000000001,0.063,0.07575000000000001,0.08950000000000001,0.06075,0.09150000000000001,0.10075,0.07600000000000001,0.07875,0.030250000000000003,0.07475000000000001,0.045000000000000005,0.06999999999999999,0.022500000000000003,0.06175,0.052,0.036750000000000005
2012-01-01,0.07200000000000001,0.07825,0.044750000000000005,0.02275,0.06725,0.07775,0.052000000000000005,0.05525,0.08625000000000001,0.043000000000000003,0.058249999999999996,0.022250000000000002,0.029250000000000005,0.022250000000000002,0.0125,0.025,0.04125,0.09050000000000001,0.05225,0.04775000000000001,0.10275,0.07875,0.08650000000000001,0.05374999999999999,0.086,0.0895,0.047,0.07825,0.08875,0.07125000000000001,0.06325,0.018250000000000002,0.08124999999999999,0.037750000000000006,0.05175,0.037,0.06974999999999999,0.05625,0.06475
2013-01-01,0.07075000000000001,0.076,0.04725,0.02475,0.059,0.08025,0.061,0.05375,0.08325,0.041249999999999995,0.07125000000000001,0.02,0.05075,0.018250000000000002,0.0045000000000000005,0.01825,0.04325,0.08225,0.0465,0.0495,0.09125000000000001,0.04650000000000001,0.09700000000000002,0.055999999999999994,0.081,0.102,0.056999999999999995,0.07875000000000001,0.082,0.06825,0.065,0.01925,0.0635,0.0465,0.07275000000000001,0.04,0.08224999999999999,0.049,0.05324999999999999
